link;is_premium;description;company;experience;min_pay;max_pay;qualifications
https://www.karriere.at/jobs/5799902;;Data Scientist;7LYTIX GmbH;3;2556.0;;AI,DB
https://www.karriere.at/jobs/5971585;;Fullstack Entwickler  ;epunkt GmbH;3;3500.0;4500.0;WEB,SE,DB,QM
https://www.karriere.at/jobs/5931265;X;Agile Software Engineer;MIC Datenverarbeitung GmbH;2;2680.0;;SE,DB,QM
https://www.karriere.at/jobs/5988424;;Angular Frontend Developer;epunkt GmbH;2;2700.0;4500.0;WEB,DB
https://www.karriere.at/jobs/5918905;;Software Entwickler;LIWEST;3;3500.0;;SE,QM
https://www.karriere.at/jobs/5970433;X;Data Scientist - Vehicle Data; KTM Innovation GmbH;4;3190;;AI
https://www.karriere.at/jobs/5845167;;Consultant IT-Security;Deloitte;3;2700.0;;CON,SEC
https://www.karriere.at/jobs/6009490;X;Software Test Engineer;karriere.at;2; 3190.0 ;4000.0;QM,SE
https://www.karriere.at/jobs/6011512;X;Softwareentwickler C++;BEKO Engineering & Informatik GmbH;4;3000.0;;SE
https://www.karriere.at/jobs/5932948;X;Director Software Development;Dynatrace Austria GmbH;5;5714.0;;SE,PM
https://www.karriere.at/jobs/5950141;;IT System Engineering;voestalpine AG;3;3501.0;;IT
https://www.karriere.at/jobs/5965765;X;Junior Backend Software Developer;XXXLdigital;2;2342.0;;WEB,DB
https://www.karriere.at/jobs/5965765;X;Scrum Master;karriere.at;2;3190.0;4500.0;PM
https://www.karriere.at/jobs/5939658;;Test Automation Engineer;AVOCODO GmbH;1;2635.0;4500.0;QM
https://www.karriere.at/jobs/5846134;;Software Entwickler - Backend;Smarter Ecommerce GmbH;3;3094.0;;SE,DB
https://www.karriere.at/jobs/6008029;X;Senior Java Software Developer;Dynatrace Austria GmbH;4;3571.0;;SE
https://www.karriere.at/jobs/5986255;;Python Developer;epunkt GmbH;2;2500.0;5000.0;SE
https://www.karriere.at/jobs/5966440;;Data Scientist;voestalpine AG;3;3617.0; ;AI,DB
https://www.karriere.at/jobs/5918913;;IT Helpdesk Support;LIWEST;1;2287.0;;IT
https://www.karriere.at/jobs/5922643;;IT-Consultant Einkauf;curecomp Software Services GmbH;2;3094.0;;CON,IT
